No.,Name,Ticker,Put Volume Total,Call Volume Total,Put/Call Volume Ratio,Put Open Interest Total,Call Open Interest Total,Put/Call Open Interest Ratio,Market Cap,,,,,,,,
35,McDonald's Corp,MCD,20293,9814,2.06776,104435,112693,0.92672,182.132B,,,,,,,,
36,Comcast Corp A,CMCSA,9596,8399,1.14252,367651,386429,0.95141,181.877B,,,,,,,,
37,Adv Micro Devices,AMD,110200,144861,0.76073,1574721,1474143,1.06823,172.828B,,,,,,,,
38,Netflix Inc,NFLX,42797,59629,0.71772,446613,389175,1.14759,171.033B,,,,,,,,
39,Abbott Laboratories,ABT,1787,2232,0.80063,93873,116777,0.80387,167.913B,,,,,,,,
40,T-Mobile US,TMUS,3447,1781,1.93543,229597,242462,0.94694,164.869B,,,,,,,,
41,Danaher Corp,DHR,1173,1885,0.62228,42208,65764,0.64181,161.234B,,,,,,,,
42,Walt Disney Company,DIS,52851,85568,0.61765,680284,1093505,0.62211,154.982B,,,,,,,,
43,Intel Corp,INTC,31003,40728,0.76122,1235346,1719580,0.71840,151.019B,,,,,,,,
44,Intuit Inc,INTU,1513,1166,1.29760,33096,29427,1.12468,149.913B,,,,,,,,
45,Nike Inc,NKE,29117,12947,2.24894,368662,352941,1.04454,147.443B,,,,,,,,
46,Conocophillips,COP,5894,14825,0.39757,183975,201824,0.91156,145.878B,,,,,,,,
47,Wells Fargo & Company,WFC,14020,15863,0.88382,976514,791636,1.23354,145.254B,,,,,,,,
48,Amgen Inc,AMGN,1816,3593,0.50543,65651,68836,0.95373,145.247B,,,,,,,,
49,Philip Morris International Inc,PM,819,3643,0.22481,66967,86924,0.77041,143.297B,,,,,,,,
50,Texas Instruments,TXN,2821,3432,0.82197,110922,135880,0.81632,142.296B,,,,,,,,
51,Caterpillar Inc,CAT,5754,5663,1.01607,130720,122080,1.07077,140.085B,,,,,,,,
52,Morgan Stanley,MS,7170,28310,0.25327,401929,363152,1.10678,132.408B,,,,,,,,
53,Verizon Communications Inc,VZ,14244,38031,0.37454,448009,674188,0.66452,132.217B,,,,,,,,
54,United Parcel Service,UPS,9093,4414,2.06004,149735,162595,0.92091,131.876B,,,,,,,,
55,International Business Machines,IBM,2548,4603,0.55355,185208,209540,0.88388,129.545B,,,,,,,,
56,Blackstone Inc,BX,6752,17014,0.39685,225450,177422,1.27070,127.523B,,,,,,,,
57,Qualcomm Inc,QCOM,11008,19967,0.55131,354471,339638,1.04367,124.769B,,,,,,,,
58,Union Pacific Corp,UNP,516,1577,0.32720,79504,120266,0.66107,124.512B,,,,,,,,
59,Honeywell International Inc,HON,1058,2476,0.42730,51553,71142,0.72465,123.842B,,,,,,,,
60,General Electric Company,GE,3515,3669,0.95803,148815,157129,0.94709,120.005B,,,,,,,,
61,Bristol-Myers Squibb Company,BMY,10597,6420,1.65062,234271,331817,0.70602,118.264B,,,,,,,,
62,Applied Materials,AMAT,5693,5916,0.96231,178587,132204,1.35084,117.24B,,,,,,,,
63,S&P Global Inc,SPGI,142,302,0.47020,31449,14736,2.13416,116.611B,,,,,,,,
64,Lowe's Companies,LOW,3066,3584,0.85547,86807,63738,1.36193,115.85B,,,,,,,,
65,Servicenow Inc,NOW,1735,1749,0.99200,36767,29615,1.24150,115.144B,,,,,,,,
66,Boeing Company,BA,29093,67647,0.43007,352930,401933,0.87808,113.698B,,,,,,,,
67,Deere & Company,DE,3518,2016,1.74504,59157,56899,1.03968,110.287B,,,,,,,,
68,Lockheed Martin Corp,LMT,18222,46872,0.38876,46376,55411,0.83695,109.932B,,,,,,,,
69,American Express Company,AXP,6970,4589,1.51885,150774,137610,1.09566,109.6B,,,,,,,,
70,Booking Holdings Inc,BKNG,2323,1464,1.58675,33100,22029,1.50256,107.424B,,,,,,,,
71,Elevance Health Inc,ELV,1519,430,3.53256,16344,18210,0.89753,106.751B,,,,,,,,
72,Rtx Corp,RTX,17406,86967,0.20014,159462,252407,0.63177,106.238B,,,,,,,,
73,Starbucks Corp,SBUX,9698,6711,1.44509,222898,218048,1.02224,106.156B,,,,,,,,
74,AT&T Inc,T,18021,36299,0.49646,629536,1492467,0.42181,105.305B,,,,,,,,
75,Intuitive Surg Inc,ISRG,1194,1640,0.72805,35072,33497,1.04702,103.471B,,,,,,,,
76,Automatic Data Procs,ADP,898,1425,0.63018,21330,23076,0.92434,103.067B,,,,,,,,
77,Goldman Sachs Group,GS,10413,7427,1.40205,166614,146380,1.13823,103.058B,,,,,,,,
78,TJX Companies,TJX,3540,4719,0.75016,83754,132143,0.63381,101.491B,,,,,,,,
79,Stryker Corp,SYK,425,1267,0.33544,16264,21723,0.74870,101.325B,,,,,,,,
80,Nextera Energy,NEE,42665,19964,2.13710,175827,306608,0.57346,99.809B,,,,,,,,
81,Medtronic Inc,MDT,7515,6934,1.08379,73362,135085,0.54308,99.963B,,,,,,,,
82,Blackrock Inc,BLK,823,586,1.40444,16493,15221,1.08357,96.094B,,,,,,,,
83,Marsh & Mclennan Companies,MMC,47,126,0.37302,6242,5444,1.14658,95.373B,,,,,,,,
84,The Charles Schwab Corp,SCHW,28615,17284,1.65558,512345,409576,1.25092,94.242B,,,,,,,,
85,Gilead Sciences Inc,GILD,1840,4971,0.37015,117352,126940,0.92447,93.526B,,,,,,,,
86,Uber Technologies Inc,UBER,15640,23117,0.67656,722244,803276,0.89912,92.878B,,,,,,,,
87,Vertex Pharmaceutic,VRTX,671,909,0.73817,20374,23218,0.87751,91.675B,,,,,,,,
88,CVS Corp,CVS,10515,11516,0.91308,210580,296757,0.70960,91.514B,,,,,,,,
89,Regeneron Pharmaceuticals,REGN,443,688,0.64390,23975,20003,1.19857,90.302B,,,,,,,,
90,Analog Devices,ADI,647,740,0.87432,61564,52835,1.16521,86.368B,,,,,,,,
91,Mondelez Intl Inc,MDLZ,26766,4712,5.68039,58148,66220,0.87810,86.754B,,,,,,,,
92,Chubb Ltd,CB,132,410,0.32195,13531,12800,1.05711,86.456B,,,,,,,,
93,The Cigna Group,CI,548,433,1.26559,35089,36929,0.95017,85.737B,,,,,,,,
94,Eaton Corp,ETN,388,462,0.83983,31601,40213,0.78584,85.099B,,,,,,,,
95,Progressive Corp,PGR,1440,896,1.60714,22114,38457,0.57503,83.821B,,,,,,,,
96,Lam Research Corp,LRCX,1801,5081,0.35446,60954,34909,1.74608,82.994B,,,,,,,,
97,Schlumberger N.V.,SLB,7876,15769,0.49946,214709,196660,1.09178,82.77B,,,,,,,,
98,Airbnb Inc Cl A,ABNB,21305,13134,1.62213,301204,201521,1.49465,81.528B,,,,,,,,
99,Zoetis Inc Cl A,ZTS,381,789,0.48289,22324,20926,1.06681,80.371B,,,,,,,,
100,Citigroup Inc,C,17749,35659,0.49774,1325563,1639643,0.80845,78.453B,,,,,,,,
